text;department;process;document;edition
In this Document the following words shall mean:  -;0;0;0;0
Premise means land or buildings (including temporary buildings) owned, leased or occupied by the Party.;0;0;0;0
"""Document"" or ""Object"" means a group of data, information that are put together, identified and named for a defined purpose and object to creation, modification, updates, suppression, control, evaluation, rejection, approval, storage or deletion.";0;0;1;0
"""Franchisee"" means individual or entity who / that agreed with Premiers International to enter in business partnership with Premiers International which scope covers the object of the here describe System.";0;0;0;0
"""Manage"" means integrate, store, modify, delete, monitor, act on event, control and verify the document, associated documents, data, information related to the document and all its revision, when applicable, with all required information, according to Premiers International here agreed specification, security rules and policy.";1;1;1;0
"""Miro"" means the Person identified as Approved Person to whom the benefit of the Agreement may be assigned by Miro K.E. SARL and where the context so requires, the Personnel, agent, supplier and any other Person employed by Miro K.E. SARL,";0;0;0;0
"""Premiers International"" means the Person identified as Approved Person to whom the benefit of the Agreement may be assigned by Premiers International and where the context so requires, the Personnel, agent, supplier and any other Person employed by Premiers International,";0;0;0;0
"""Sale Department"" means Program wise Sale Teams,";Sale;0;0;0
"""Sales Coordinator"" means Person who can create a lead and at sign up stage (when client is agree to sign the contract) he / she will fix an appointment with a sale person,";Sale;Sale;Lead;Creation
"""Sale Inquiries"" mean {People can call to us (Source:  SMS / email / fax / ad / Whatsapp campaign, client ref web visitor, staff ref etc?) or we can call to a contact no (Source of No:  Personal Data bank, Website form, email from a contact, staff ref, client ref etc? )}";Sale;Sale;Lead;Creation
"""Sale Person"" means Person who can create leads as well as can go for sale / sign up";Sale;Sale;Lead;Creation
"""System"" means the ERP System full or partial object of the current Requirements.";1;1;1;1
"""Including but not limited to"" means that it includes the coming items, features and their reasonably, commonly or due diligently associated items and features that extra works do not exceed 10% of the cited or listed items and features works in terms of values and workload,";1;1;1;1
Odoo means, unless formally specified here ine, the last stable version of Odoo with and only with OpenERP S.A. Apps, Modules and preferably Certified Modules. ;1;1;1;1
C-A-D Record Maintenant;1;1;1;1
Communications;1;1;1;1
Actions ;1;1;1;1
Documents Management;0;0;1;0
Other: ;0;0;0;0
Centralized Flow of Client data;1;1;1;1
Live Monitoring & Reporting;1;1;1;1
Immigration Services Sector;1;1;1;1
Premiers Management Consultancy & Training;1;1;1;1
Head Office Dubai;0;0;0;0
Branch Office Abu Dhabi;0;0;0;0
Flexibility to create to new Branch;1;1;0;create
Printing Layout Option (Flexible to create new layout);1;1;1;1
Premiers Management Consultancy & Training name & logo ;1;1;1;1
Global Migration Services name & logo ;1;1;1;1
Create New Layout;1;1;1;create
Business Center;1;1;1;1
For Business center one data base will be created & develop and the same will be use in the other office with a different name.;1;1;1;create
Star Business Center DMCC-JLT;1;1;1;1
Star Executive Business Center-Business Bay;;;;
Project Brief Specifications;;;;
ERP development & implementation as per the requirements;1;1;1;1
ERP development & implementation for immigration & business center;1;1;1;1
Flexibility in terms of change in process flow, approval & authorization process flow, forms fields etc which will be discussed in detail during execution / business specification study;1;1;1;1
Data Migration process (Excel, Officio(CRM), Laser fiche (Documents Management) & Focus (Accounts);1;1;1;1
Integration of Attendance system (web based), Avaya Dial guard system & QMS system-Web based (ticket dispenser for visitors). For signature functionality, signature pad integration if required.;1;1;1;1
Note:  Check the specifications required for integration of all these system;1;1;1;1
Web Portal platform & development as mentioned in the document.;1;1;1;1
High speed ERP system processes for required functionalities of all the users;1;1;1;1
Miro will provide the list of hardware required o Hardware specifications;1;1;0;0
Data Security;1;1;1;1
Data security is very important for our group. In collaboration with Premiers IT team & Miro we will develop strategies and policies regarding;1;1;1;1
Data Security policy;1;1;0;0
Software security mechanism o Hardware based mechanism;1;1;0;0
Data backup strategy;1;1;0;0
Data masking, recovery, erasure policies;1;1;0;0
Data / field deletion strategy and process;1;1;0;1
Copy protection policy;1;1;1;1
Immigration Services;1;1;1;1
Customer Relationship Management ;1;1;1;1
CRM-Sale (Pre & Post Sale activities);Sale;Sale;0;0
CRM-Operational / Processing Department activities ;1;1;1;1
CRM-Customer Care Services (Help Desk);1;1;1;1
Sale;Sale;Sale;0;0
Commission & Incentives Module;1;1;1;1
Finance;1;1;1;1
PDCs Management;1;1;1;1
Payroll;1;1;0;0
HR Module;1;1;0;0
